fragment_length	cancer	healthy	enrichment	threshold_95	threshold_99	sig_95	sig_99
103	4.612073254130295e-4	2.962570797909656e-4	1.5567282255539134	1.377784630208627	1.4888231341605864	TRUE	TRUE
104	4.365852833274562e-4	2.7751800901974684e-4	1.5731215197684498	1.3766388418718432	1.4906484367774653	TRUE	TRUE
105	4.1904739455996714e-4	2.6188422347369613e-4	1.6000635256548719	1.3760142533709798	1.4898959758331525	TRUE	TRUE
106	4.310243553367781e-4	2.6816977106101887e-4	1.607221729034541	1.3717669630312572	1.4839063366007927	TRUE	TRUE
107	4.608210457906567e-4	2.894839321842428e-4	1.5918159054794145	1.3624405318671475	1.471186311705067	TRUE	TRUE
108	5.054256691544405e-4	3.2656993814117333e-4	1.547632325583809	1.3482972035789955	1.4517792219595638	TRUE	TRUE
109	5.826724199517439e-4	3.9293469111184766e-4	1.4828357097866787	1.3329979442670916	1.431121573100163	TRUE	TRUE
110	6.898196845112548e-4	4.950125802415235e-4	1.393511552896615	1.3078694212462676	1.4027623452349225	TRUE	FALSE
111	7.819826005097752e-4	5.877724773684118e-4	1.330394543251486	1.2887129225091205	1.3834771868101927	TRUE	FALSE
112	7.831564124085348e-4	5.958643435750529e-4	1.3142979234679748	1.2811082057071215	1.3773696333986345	TRUE	FALSE
113	7.038044708345076e-4	5.204341633051494e-4	1.3523150425300272	1.2868311019961054	1.3816365111380962	TRUE	FALSE
114	6.410777659606704e-4	4.5735082923009646e-4	1.4016892680552375	1.2993458031373688	1.3928243728725012	TRUE	TRUE
115	6.419766605566671e-4	4.5484626414733943e-4	1.4113835757766209	1.302246301112391	1.3928307629765195	TRUE	TRUE
116	6.76599167965921e-4	4.8101187862445704e-4	1.406587097245435	1.2982102754147957	1.3852003256017276	TRUE	TRUE
117	7.265615235311505e-4	5.218780181411877e-4	1.3921789699616975	1.2889932172818703	1.3767447105915207	TRUE	TRUE
118	7.991184140751352e-4	5.82249946769377e-4	1.3724427010804712	1.2784546805242671	1.3626638097329615	TRUE	TRUE
119	9.244411615539186e-4	6.979231571590636e-4	1.3245411141044734	1.260859588738166	1.3432367782411454	TRUE	FALSE
120	0.0011549011418920294	9.102244983107488e-4	1.2687951775452844	1.2422899730742698	1.3187849854944977	TRUE	FALSE
121	0.0014815613338702647	0.00121245559518245	1.2219409274432416	1.2253355106415795	1.2985026756314835	FALSE	FALSE
122	0.0017313374718608504	0.0014496350221427194	1.1943182264729622	1.2147302046115243	1.2856514449814285	FALSE	FALSE
123	0.0016824710766253205	0.0014087560795037605	1.1942870438916111	1.214461833847465	1.2848650470074319	FALSE	FALSE
124	0.001383223367074318	0.0011125271569817606	1.2433053209898277	1.22963464060021	1.3046166065470988	TRUE	FALSE
125	0.0011629694482640906	8.777679497826441e-4	1.324901643464689	1.263988761231586	1.3511880310445743	TRUE	FALSE
126	0.001134509742734999	8.185999072377995e-4	1.3858978894637701	1.2983895592351777	1.3905325654646903	TRUE	FALSE
127	0.0012172448756286743	8.727280105682252e-4	1.3947425927239565	1.3031268391766677	1.394387785305065	TRUE	TRUE
128	0.0013320111557081596	9.658279518493847e-4	1.3791248864860064	1.2899253007716593	1.379386180958632	TRUE	FALSE
129	0.0014924384756907429	0.0011117056161461217	1.3424642543606942	1.26481486470526	1.3515030128320755	TRUE	FALSE
130	0.0017733935697592951	0.0013701437504671948	1.2943026059335339	1.239284728728046	1.3182264652070768	TRUE	FALSE
131	0.0022339225373163942	0.0017822487273519419	1.253422133965661	1.2164113496127424	1.2873009842304945	TRUE	FALSE
132	0.0029065591988826794	0.002395831534713337	1.2131683822863726	1.1969517721051006	1.2597708070219584	TRUE	FALSE
133	0.0035566368236537977	0.003013624753115322	1.1801817788227824	1.184022626819796	1.2405544303740317	FALSE	FALSE
134	0.003686054396766579	0.003159609023898369	1.16661355970021	1.176598349614025	1.2325822860018303	FALSE	FALSE
135	0.003303292544615528	0.002787619432005217	1.1849826618595358	1.1840544420463088	1.2409878335560263	TRUE	FALSE
136	0.002983673402520645	0.002422011467958891	1.2318938712938305	1.200020623542875	1.265290129924305	TRUE	FALSE
137	0.0031186759962564745	0.002467391729954595	1.263951450789436	1.208401227750421	1.2737589082729552	TRUE	FALSE
138	0.0036640876832433255	0.0029017342815792838	1.262719015767004	1.2002269961197032	1.2646140064212372	TRUE	FALSE
139	0.0045244714107957554	0.0036560899145222396	1.2375130648985533	1.1833393218400863	1.2412045982756044	TRUE	FALSE
140	0.0055515517944688415	0.004622147958591447	1.2010735773644174	1.1655193615153492	1.215111547514706	TRUE	FALSE
141	0.006370009881164725	0.0054268032526123295	1.1738030377401258	1.1530305447168092	1.1989353570124213	TRUE	FALSE
142	0.006721686701622725	0.0057705152795588565	1.164830994750721	1.1487226849072127	1.1953570812003416	TRUE	FALSE
143	0.0068072103935095255	0.005812411486274469	1.1711487904970699	1.149916725995427	1.197296397875008	TRUE	FALSE
144	0.006969269332327539	0.005929538548772707	1.175345690317357	1.1509354252005894	1.1999654178711208	TRUE	FALSE
145	0.007152421760650765	0.006079840055647481	1.1764141706105053	1.1504803064488296	1.1984409034230206	TRUE	FALSE
146	0.0072039998617132615	0.006071388555928056	1.1865470196614494	1.1516164974484349	1.1996746854755396	TRUE	FALSE
147	0.007362493578255262	0.006140341633983918	1.1990345206791369	1.1545330607525432	1.2025203262714539	TRUE	FALSE
148	0.007759278928441806	0.006443176669942323	1.204261078549702	1.1537618115334882	1.20114328560612	TRUE	TRUE
149	0.008325935702803898	0.00695600565172572	1.1969403347645307	1.1470515053967634	1.1927218965424708	TRUE	TRUE
150	0.008999415118367432	0.0076293984137616585	1.1795691920404476	1.1377253208673672	1.1796711030329483	TRUE	FALSE
151	0.009812736744662312	0.008486088889380685	1.1563307089128732	1.1259386971505507	1.1648454214667787	TRUE	FALSE
152	0.010537869525982633	0.009282309407863254	1.1352625419306057	1.1156082178461655	1.1529664511718336	TRUE	FALSE
153	0.010627456728151127	0.009450736612490894	1.1245097518650002	1.1119468676528472	1.147193545636007	TRUE	FALSE
154	0.01034088792149579	0.009203059237434329	1.1236346978063882	1.1134978252631595	1.1480312365011847	TRUE	FALSE
155	0.010409752529068826	0.009239899019160395	1.1266076870976303	1.1162688664647449	1.1494941699685117	TRUE	FALSE
156	0.011060914464970893	0.009834515317729931	1.1247024241251378	1.1152733972391573	1.1497045578980543	TRUE	FALSE
157	0.012227547680930937	0.010918228250386927	1.1199194778972341	1.1124256472526317	1.1454648988559601	TRUE	FALSE
158	0.013736967067127471	0.012295160814304682	1.1172652478439216	1.1089210040247481	1.1389942771551018	TRUE	FALSE
159	0.015359985216136548	0.013802164978527568	1.1128670111799415	1.1033748938653527	1.1321481341497777	TRUE	FALSE
160	0.016697938218750544	0.0150864481921527	1.1068163253477257	1.0991512270685393	1.127647311874086	TRUE	FALSE
161	0.017664199865164085	0.015996486222977682	1.104254307877176	1.0967710034610578	1.1255753073166723	TRUE	FALSE
162	0.01871012670522253	0.01693563915860424	1.1047776515680094	1.0975992929227658	1.125117060984454	TRUE	FALSE
163	0.020565226771013877	0.018548797381866242	1.1087088429803273	1.0993536028506439	1.1280663499348726	TRUE	FALSE
164	0.023370327626913216	0.021027383280156776	1.1114229574508139	1.1003375210070812	1.127896825338238	TRUE	FALSE
165	0.02596460095180685	0.023465170301747888	1.1065161493718751	1.0983371422301598	1.1238582581726708	TRUE	FALSE
166	0.027179535123624886	0.02478532299376137	1.0965975373607508	1.0919816739646186	1.1158436952186408	TRUE	FALSE
167	0.027336324792700675	0.025169761388390357	1.0860775956554634	1.0836987025549736	1.1062582416253093	TRUE	FALSE
168	0.026939773433234886	0.025021645992675746	1.0766582931649529	1.076427005873964	1.0990345660452059	TRUE	FALSE
169	0.026130778079992114	0.02447438771105231	1.0676780850133771	1.0704058166809167	1.0921529036833404	FALSE	FALSE
170	0.024916075367743838	0.023529742938397023	1.0589178489453897	1.0652455042019795	1.086391148207646	FALSE	FALSE
171	0.023576267264331385	0.0224692247249021	1.0492688136904986	1.0604094783059568	1.0816546976550996	FALSE	FALSE
172	0.02252130052534715	0.02166801442424433	1.0393795061513815	1.055728370089537	1.0754691596765868	FALSE	FALSE
173	0.022021131194322918	0.021371441815373357	1.030399403117865	1.0514291905699953	1.0702204268905346	FALSE	FALSE
174	0.02186109623362788	0.021395312938033165	1.02176986516837	1.047163166495411	1.064539920868233	FALSE	FALSE
