fragment_length	cancer	healthy	enrichment	threshold_95	threshold_99	sig_95	sig_99
208	0.0028450879569173917	0.0033378517663304806	0.8523684190927937	1.1470205103063114	1.2090957148774264	FALSE	FALSE
209	0.0027163662260305233	0.003183839322023035	0.8531704711153006	1.1494190494525114	1.2132744201721988	FALSE	FALSE
210	0.0025808487066644042	0.0030263104778866117	0.8528008601609515	1.1528490066328934	1.216032323086247	FALSE	FALSE
211	0.0024294180806188467	0.0028470610445942308	0.8533043406948391	1.1552972968934692	1.2194468050638105	FALSE	FALSE
212	0.0022670782433447984	0.002660689299039152	0.8520610518308099	1.1582927287877691	1.2232756935621703	FALSE	FALSE
213	0.0021031877389110763	0.0024685075700669116	0.8520043626240291	1.1622182973098876	1.2294532588144316	FALSE	FALSE
214	0.0019471801851587353	0.0022819755605084507	0.85328330680799	1.1645263742458851	1.2341998241527863	FALSE	FALSE
215	0.0018117939906449865	0.002120966581968006	0.8542263059613152	1.1681368397243017	1.237907112024043	FALSE	FALSE
216	0.00169440360343084	0.001979662619326698	0.8559009135596974	1.171672948571605	1.2436659120274622	FALSE	FALSE
217	0.001595525496987608	0.001856619151357163	0.8593668239138156	1.1749252448928635	1.2504263465669667	FALSE	FALSE
218	0.0015121820431326597	0.0017569560277121289	0.8606780206796486	1.1790144736484165	1.256894498313173	FALSE	FALSE
219	0.0014373590656271463	0.0016676268196631565	0.86191372646562	1.182673030577685	1.260442728432505	FALSE	FALSE
220	0.0013666008177007913	0.00157794522168273	0.8660580470993654	1.1862327839368771	1.265034200604982	FALSE	FALSE
221	0.0012911837797904971	0.0014877580226989335	0.8678663340593809	1.1899282819542565	1.2712615487080159	FALSE	FALSE
222	0.0012105548337782255	0.0013947691211831806	0.8679186656818615	1.1941472308091095	1.276102863282599	FALSE	FALSE
223	0.0011298210858378338	0.0012983230179930264	0.8702090066108927	1.1977424347139773	1.2808103514969524	FALSE	FALSE
224	0.0010539811556830483	0.0012043045181996624	0.875171012019893	1.2003370837614145	1.2857253431889324	FALSE	FALSE
225	9.80941777181886e-4	0.0011162286650487753	0.8787921507261377	1.2062375955444609	1.291229507720762	FALSE	FALSE
226	9.183357010516686e-4	0.0010411305656816753	0.8820477573557981	1.2106939566388666	1.2966716328840284	FALSE	FALSE
227	8.651133682067893e-4	9.768681632388683e-4	0.8855898317334483	1.217164135309219	1.302711090944797	FALSE	FALSE
228	8.208022865067007e-4	9.232033470543835e-4	0.8890710788850302	1.220085020951113	1.3059145043273095	FALSE	FALSE
229	7.828820867580486e-4	8.728825005341194e-4	0.8968825901001626	1.225679978152894	1.3108813616009192	FALSE	FALSE
230	7.488091070017168e-4	8.277395123644206e-4	0.9046324954789583	1.226798435419961	1.312732350768982	FALSE	FALSE
231	7.135634334090275e-4	7.840451292404747e-4	0.9100934447049233	1.230913926042774	1.3211754474565391	FALSE	FALSE
232	6.778204400597103e-4	7.38528244777e-4	0.9177865125513935	1.2336950634002417	1.3338086625660523	FALSE	FALSE
233	6.474022637995657e-4	6.95254555663127e-4	0.9311595974888847	1.2328136137491876	1.331295614419487	FALSE	FALSE
234	6.121804104387325e-4	6.543224491272206e-4	0.9355800881574611	1.2384434999240241	1.3418805730798018	FALSE	FALSE
235	5.726717055374055e-4	6.122951584408824e-4	0.9352717311668647	1.2538505283464367	1.360380979734965	FALSE	FALSE
236	5.360557407637492e-4	5.774420578439865e-4	0.9283121143687714	1.2689894895815481	1.384758975370384	FALSE	FALSE
237	5.105119744045704e-4	5.476209956669041e-4	0.9322189182934573	1.2730653328598807	1.3985890353109658	FALSE	FALSE
238	4.907588620341117e-4	5.233723491674771e-4	0.9376679645669017	1.27955360348857	1.4032529925034722	FALSE	FALSE
239	4.8006988826002534e-4	5.043681899283147e-4	0.9518054068282686	1.2803723684375223	1.400938093362511	FALSE	FALSE
240	4.653905574247337e-4	4.894229635672417e-4	0.9508770190563494	1.2887406995576864	1.4210282771849625	FALSE	FALSE
241	4.559741657170032e-4	4.727739210087106e-4	0.9644451629068881	1.2953103648896516	1.4158287118479929	FALSE	FALSE
242	4.4522594369897643e-4	4.5616321792413885e-4	0.9760019356792162	1.2970005590946443	1.420191613672383	FALSE	FALSE
243	4.2586650059624193e-4	4.386147429516347e-4	0.9709130810324588	1.3149497726629347	1.4567990253817682	FALSE	FALSE
244	4.145671720471337e-4	4.2145551551846586e-4	0.9836324842310145	1.3222042560873986	1.4620571130068412	FALSE	FALSE
245	3.94470935923847e-4	4.0637187560532e-4	0.970690278291247	1.3407871748463618	1.4900501181155448	FALSE	FALSE
246	3.8160653230658547e-4	3.934366091719212e-4	0.9699067761944746	1.3511751242975352	1.5084405453598648	FALSE	FALSE
247	3.741712981834848e-4	3.820145760574741e-4	0.9794430034972206	1.354251703073027	1.5145508931063176	FALSE	FALSE
248	3.6772479966902126e-4	3.7138219308293296e-4	0.9901252813542778	1.358139275489385	1.5184629138951897	FALSE	FALSE
249	3.639809204907965e-4	3.641597117824541e-4	0.9994815843120682	1.3611583311319064	1.522438927450058	FALSE	FALSE
250	3.6050232982924287e-4	3.6312480948842176e-4	0.9927506821422946	1.3623376710233857	1.519297800664574	FALSE	FALSE
251	3.5864576420404823e-4	3.660561871417371e-4	0.9797292861282058	1.3621597687543094	1.5279231956993413	FALSE	FALSE
252	3.5943555931628574e-4	3.562772394477694e-4	1.0088364654131203	1.367294054128677	1.5464913352630547	FALSE	FALSE
253	3.5609674600445106e-4	3.430924290238425e-4	1.0378729961707895	1.3943709186232196	1.5741220912243739	FALSE	FALSE
254	3.591093578231089e-4	3.363229264520627e-4	1.067719897695751	1.3915333111606065	1.5727276093642026	FALSE	FALSE
255	3.507658108172318e-4	3.3768770319586187e-4	1.0386976502881056	1.3954977592385462	1.5751786053305548	FALSE	FALSE
256	3.5062152084694995e-4	3.360743289811376e-4	1.0432545959815587	1.3992193181410033	1.586511175734558	FALSE	FALSE
257	3.4331753540379876e-4	3.3232197943532294e-4	1.0330559700789006	1.4044019985167842	1.602130111395302	FALSE	FALSE
258	3.455352848464014e-4	3.1565602942890705e-4	1.094622964249694	1.4038549872201018	1.5877123344588768	FALSE	FALSE
259	3.4230022272818e-4	3.131918407471553e-4	1.0929061652754317	1.4148617084690243	1.5959268999816898	FALSE	FALSE
260	3.462843003789677e-4	3.2779983083850236e-4	1.0563572773068144	1.4015037443122176	1.5938124703651855	FALSE	FALSE
261	3.483591898812297e-4	3.3798042861231175e-4	1.0306776772096446	1.4004420385488905	1.5948082400182357	FALSE	FALSE
262	3.4121297121318016e-4	3.2704719030107586e-4	1.0432822800779065	1.4360910037591899	1.6420101740202655	FALSE	FALSE
263	3.3742064674590385e-4	3.06405421073769e-4	1.101186897067659	1.490389778250596	1.739304730494088	FALSE	FALSE
264	3.4316815078141814e-4	3.127960466048314e-4	1.0970636741397244	1.4863586415086505	1.7424289429659967	FALSE	FALSE
265	3.493584978839945e-4	3.398800076786088e-4	1.0278575126996343	1.4439106279734677	1.674989566931688	FALSE	FALSE
266	3.337898384258136e-4	3.01594320150463e-4	1.1067143808128943	1.5106041345723282	1.784726599386684	FALSE	FALSE
267	3.287120183998103e-4	2.762258795334847e-4	1.1899685839325032	1.5595159581950184	1.881740611692908	FALSE	FALSE
268	3.326078663674798e-4	2.7619821180925467e-4	1.2041925335557144	1.5421140317117077	1.8549384515929317	FALSE	FALSE
269	3.3296440822202746e-4	3.0010761346763913e-4	1.109446407942765	1.503561862033018	1.7950369914940028	FALSE	FALSE
270	3.2623540718561603e-4	2.821910857505261e-4	1.1560388094113059	1.5756461995700453	1.890247790820863	FALSE	FALSE
271	3.356125069437823e-4	2.8133825869065127e-4	1.1928721667077946	1.5854267356297738	1.9271534746976042	FALSE	FALSE
272	3.448155703945242e-4	2.881936994932726e-4	1.1964300631837415	1.5938486122206545	1.923110912832305	FALSE	FALSE
273	3.445247771952949e-4	2.977442438730977e-4	1.157077637966869	1.5964703704679994	1.9268387296223302	FALSE	FALSE
274	3.4835319868899714e-4	2.9958364771382135e-4	1.1627522857952983	1.6201625900423657	1.9610095998401953	FALSE	FALSE
275	3.568023313857879e-4	3.0024623768263047e-4	1.188326124844495	1.6221523994174825	1.96296133184722	FALSE	FALSE
276	3.5560813728301036e-4	2.9141804715248195e-4	1.2202261956514704	1.6332186480149236	1.9868489355645162	FALSE	FALSE
277	3.54749075483215e-4	2.922669019676382e-4	1.2137431083161472	1.632168435645251	1.9910777118060041	FALSE	FALSE
278	3.605334807392364e-4	2.9755045116518274e-4	1.211631046153697	1.6213408760603099	1.9622064957781313	FALSE	FALSE
279	3.678358373483543e-4	3.082027437880553e-4	1.1934478530235573	1.6030049048292891	1.949071481599002	FALSE	FALSE
280	3.717240075194825e-4	3.1354856086111355e-4	1.1855010639755186	1.6093597217509994	1.9465593140357063	FALSE	FALSE
281	3.894446762870582e-4	3.290071768734094e-4	1.1836606221835602	1.604570962016114	1.946115269209841	FALSE	FALSE
282	3.9438191943062155e-4	3.427613049500912e-4	1.1505686553547563	1.6081619460592063	1.9462045562308345	FALSE	FALSE
283	3.877322841624257e-4	3.5231190660474235e-4	1.1005057502638036	1.6143818070562386	1.9649816013326828	FALSE	FALSE
284	3.953491485284854e-4	3.5509825503530357e-4	1.1133200733088597	1.6105818392875404	1.9585188900321093	FALSE	FALSE
285	4.012550325675642e-4	3.6617738612414587e-4	1.0957642119096085	1.6263406508739817	1.9676701753778212	FALSE	FALSE
286	4.004417295319944e-4	3.697856309311894e-4	1.0828730683584187	1.6231729939672372	1.992836523086418	FALSE	FALSE
287	3.9813198363270017e-4	3.7230768447574117e-4	1.0693340666675772	1.6490481535552095	2.0400543420356025	FALSE	FALSE
288	4.0839074329373213e-4	3.7889382709636e-4	1.0778216372828382	1.6486291406337787	2.0458967517523385	FALSE	FALSE
289	4.256200849700294e-4	3.9251732104531414e-4	1.0843069059157158	1.6495767823072505	2.0179128079205024	FALSE	FALSE
290	4.3649017486134143e-4	4.098678187452747e-4	1.0649275342528486	1.6543056895262713	2.037223626521767	FALSE	FALSE
291	4.4813657920724604e-4	4.2574616763143294e-4	1.052566265100327	1.6597367504156584	2.058306429688002	FALSE	FALSE
292	4.5584698639615214e-4	4.348441843325771e-4	1.0482754974424249	1.6653387529759962	2.0512891300131617	FALSE	FALSE
293	4.8448277061420255e-4	4.441313636856429e-4	1.0908301055181897	1.6602716501377142	2.038639891085721	FALSE	FALSE
294	4.854927203620241e-4	4.639274131309653e-4	1.0464616705205751	1.670896905167783	2.054870061405743	FALSE	FALSE
295	4.909965139609139e-4	4.888679848369589e-4	1.0043334516784623	1.6809855936251092	2.056589139717587	FALSE	FALSE
296	4.962781533886441e-4	4.942172457913623e-4	1.004149725889753	1.6943655648896458	2.092181025875117	FALSE	FALSE
297	5.259996351437707e-4	4.933360704391235e-4	1.066187949314327	1.6915426096125157	2.071933501794525	FALSE	FALSE
298	5.435155637807657e-4	5.191950479321482e-4	1.0468225722100346	1.6974653092409515	2.1358418899932436	FALSE	FALSE
299	5.628295700593339e-4	5.476328280898653e-4	1.0277311071934214	1.7061664692758185	2.1365588004737797	FALSE	FALSE
300	5.68691738428505e-4	5.551027738703029e-4	1.0244616322977549	1.7221246092867202	2.1641456581992107	FALSE	FALSE
301	5.8233946383445e-4	5.525848128589441e-4	1.0538272352243352	1.7444907260860596	2.167854630898825	FALSE	FALSE
302	6.015521616910557e-4	5.693894075287382e-4	1.0564678391603255	1.7399973896635026	2.150859482575325	FALSE	FALSE
303	6.174737703057764e-4	5.894721043332083e-4	1.0474851836328956	1.73883309211862	2.1832993353156387	FALSE	FALSE
304	6.232218061243635e-4	6.105434262959517e-4	1.0207490111148292	1.7644640754008991	2.2374695232185284	FALSE	FALSE
305	6.479735496555187e-4	6.303737711489353e-4	1.0279032857627732	1.7753830486076796	2.261048770454365	FALSE	FALSE
306	6.848896586577985e-4	6.437378123515888e-4	1.0639098813492194	1.7801683506603947	2.2895187549620313	FALSE	FALSE
307	7.061358862779641e-4	6.710904192661683e-4	1.0522059978000107	1.7851522425545732	2.295191427701377	FALSE	FALSE
