fragment_length	threshold_95	threshold_99
265	1.4439106279734677	1.674989566931688
266	1.5106041345723282	1.784726599386684
267	1.5595159581950184	1.881740611692908
268	1.5421140317117077	1.8549384515929317
269	1.503561862033018	1.7950369914940028
270	1.5756461995700453	1.890247790820863
271	1.5854267356297738	1.9271534746976042
272	1.5938486122206545	1.923110912832305
273	1.5964703704679994	1.9268387296223302
274	1.6201625900423657	1.9610095998401953
275	1.6221523994174825	1.96296133184722
276	1.6332186480149236	1.9868489355645162
277	1.632168435645251	1.9910777118060041
278	1.6213408760603099	1.9622064957781313
279	1.6030049048292891	1.949071481599002
280	1.6093597217509994	1.9465593140357063
281	1.604570962016114	1.946115269209841
282	1.6081619460592063	1.9462045562308345
283	1.6143818070562386	1.9649816013326828
284	1.6105818392875404	1.9585188900321093
285	1.6263406508739817	1.9676701753778212
286	1.6231729939672372	1.992836523086418
287	1.6490481535552095	2.0400543420356025
288	1.6486291406337787	2.0458967517523385
289	1.6495767823072505	2.0179128079205024
290	1.6543056895262713	2.037223626521767
291	1.6597367504156584	2.058306429688002
